iteration,coverage,num_mutants,location,mut_type,count_gaps,count_var
polio_testing_3,1300,11,12,gap,32,3
polio_testing_3,1300,11,13,gap,32,3
polio_testing_3,1300,11,14,gap,32,3
polio_testing_3,1300,11,15,gap,32,3
polio_testing_3,1300,11,16,gap,32,3
polio_testing_3,1300,11,17,gap,32,3
polio_testing_3,1300,11,18,gap,32,3
polio_testing_3,1300,11,19,gap,32,3
polio_testing_3,1300,11,20,gap,32,3
polio_testing_3,1300,11,21,gap,32,3
polio_testing_3,1300,11,22,gap,32,3
polio_testing_3,1300,11,23,gap,32,3
polio_testing_3,1300,11,24,gap,32,3
polio_testing_3,1300,11,25,gap,32,3
polio_testing_3,1300,11,26,gap,32,3
polio_testing_3,1300,11,27,gap,32,3
polio_testing_3,1300,11,28,gap,32,3
polio_testing_3,1300,11,29,gap,32,3
polio_testing_3,1300,11,30,gap,32,3
polio_testing_3,1300,11,530,gap,32,3
polio_testing_3,1400,11,157,SNP,1,1
polio_testing_3,1400,11,996,gap,1,1
polio_testing_4,100,11,567,SNP,3,1
polio_testing_4,100,11,65,gap,3,1
polio_testing_4,100,11,135,gap,3,1
polio_testing_4,100,11,958,gap,3,1
polio_testing_4,150,11,568,SNP,2,1
polio_testing_4,150,11,135,gap,2,1
polio_testing_4,150,11,151,gap,2,1
polio_testing_4,350,11,330,gap,1,0
polio_testing_4,600,11,312,gap,2,0
polio_testing_4,600,11,547,gap,2,0
polio_testing_4,800,11,797,SNP,1,1
polio_testing_4,800,11,795,gap,1,1
polio_testing_4,900,11,845,gap,2,0
polio_testing_4,900,11,999,gap,2,0
polio_testing_5,100,11,568,SNP,2,2
polio_testing_5,100,11,928,SNP,2,2
polio_testing_5,100,11,65,gap,2,2
polio_testing_5,100,11,501,gap,2,2
polio_testing_5,150,11,567,SNP,2,1
polio_testing_5,150,11,958,gap,2,1
polio_testing_5,150,11,999,gap,2,1
polio_testing_5,200,11,135,gap,1,0
polio_testing_5,250,11,229,gap,1,0
polio_testing_5,300,11,567,SNP,1,1
polio_testing_5,300,11,761,gap,1,1
polio_testing_5,800,11,312,gap,2,0
polio_testing_5,800,11,313,gap,2,0
polio_testing_5,1200,11,631,gap,2,0
polio_testing_5,1200,11,997,gap,2,0
polio_testing_5,1300,11,999,gap,1,0
polio_testing_5,1400,11,630,SNP,0,1
polio_testing_5,1500,11,134,SNP,0,1
polio_testing_6,100,11,65,gap,2,0
polio_testing_6,100,11,135,gap,2,0
polio_testing_6,150,11,567,SNP,1,1
polio_testing_6,150,11,958,gap,1,1
polio_testing_6,200,11,567,SNP,0,1
polio_testing_6,250,11,999,gap,1,0
polio_testing_6,300,11,567,SNP,0,1
polio_testing_6,1100,11,266,gap,2,0
polio_testing_6,1100,11,959,gap,2,0
polio_testing_6,1200,11,330,gap,2,0
polio_testing_6,1200,11,959,gap,2,0
polio_testing_6,1300,11,924,gap,3,0
polio_testing_6,1300,11,959,gap,3,0
polio_testing_6,1300,11,1000,gap,3,0
polio_testing_6,1400,11,62,SNP,1,1
polio_testing_6,1400,11,64,gap,1,1
polio_testing_6,1500,11,958,gap,1,0
polio_testing_7,100,11,65,gap,2,0
polio_testing_7,100,11,958,gap,2,0
polio_testing_7,150,11,927,SNP,0,1
polio_testing_7,200,11,999,gap,1,0
polio_testing_7,250,11,956,gap,3,0
polio_testing_7,250,11,957,gap,3,0
polio_testing_7,250,11,958,gap,3,0
polio_testing_7,350,11,135,gap,3,0
polio_testing_7,350,11,501,gap,3,0
polio_testing_7,350,11,872,gap,3,0
polio_testing_7,600,11,958,gap,2,0
polio_testing_7,600,11,999,gap,2,0
polio_testing_7,700,11,997,SNP,2,1
polio_testing_7,700,11,994,gap,2,1
polio_testing_7,700,11,995,gap,2,1
polio_testing_7,800,11,52,gap,2,0
polio_testing_7,800,11,1001,gap,2,0
polio_testing_7,900,11,568,gap,2,0
polio_testing_7,900,11,1000,gap,2,0
polio_testing_7,1000,11,50,gap,1,0
polio_testing_7,1100,11,500,gap,1,0
polio_testing_7,1300,11,500,gap,1,0
polio_testing_7,1400,11,996,gap,1,0
polio_testing_8,100,11,999,gap,1,0
polio_testing_8,200,11,567,SNP,2,1
polio_testing_8,200,11,65,gap,2,1
polio_testing_8,200,11,958,gap,2,1
polio_testing_8,250,11,567,SNP,1,1
polio_testing_8,250,11,958,gap,1,1
polio_testing_8,350,11,567,SNP,1,1
polio_testing_8,350,11,608,gap,1,1
polio_testing_8,400,11,993,gap,1,0
polio_testing_8,1000,11,133,SNP,0,3
polio_testing_8,1000,11,134,SNP,0,3
polio_testing_8,1000,11,135,SNP,0,3
polio_testing_8,1100,11,871,gap,1,0
polio_testing_8,1500,11,993,gap,1,0
polio_testing_9,100,11,568,SNP,1,1
polio_testing_9,100,11,500,gap,1,1
polio_testing_9,200,11,567,SNP,1,1
polio_testing_9,200,11,999,gap,1,1
polio_testing_9,250,11,159,gap,1,0
polio_testing_9,350,11,567,SNP,1,1
polio_testing_9,350,11,999,gap,1,1
polio_testing_9,600,11,77,gap,3,0
polio_testing_9,600,11,78,gap,3,0
polio_testing_9,600,11,137,gap,3,0
polio_testing_9,800,11,72,gap,1,0
polio_testing_9,900,11,835,gap,1,0
polio_testing_9,1000,11,967,SNP,0,1
polio_testing_9,1100,11,134,SNP,0,1
polio_testing_9,1300,11,568,SNP,1,1
polio_testing_9,1300,11,136,gap,1,1
polio_testing_10,100,11,567,SNP,1,1
polio_testing_10,100,11,958,gap,1,1
polio_testing_10,150,11,567,SNP,2,1
polio_testing_10,150,11,993,gap,2,1
polio_testing_10,150,11,1000,gap,2,1
polio_testing_10,250,11,193,SNP,1,1
polio_testing_10,250,11,65,gap,1,1
polio_testing_10,300,11,958,gap,1,0
polio_testing_10,350,11,136,gap,1,0
polio_testing_10,800,11,135,gap,1,0
polio_testing_10,900,11,56,gap,2,0
polio_testing_10,900,11,57,gap,2,0
polio_testing_10,1000,11,487,gap,1,0
polio_testing_10,1100,11,797,gap,1,0
polio_testing_10,1400,11,49,SNP,3,3
polio_testing_10,1400,11,50,SNP,3,3
polio_testing_10,1400,11,51,SNP,3,3
polio_testing_10,1400,11,47,gap,3,3
polio_testing_10,1400,11,872,gap,3,3
polio_testing_10,1400,11,998,gap,3,3
